Date No.,Date,Read,Adjusted
1,01/12/2019,0,0
2,02/12/2019,0,0
3,03/12/2019,0,0
4,04/12/2019,0,0
5,05/12/2019,0,0
6,06/12/2019,0,0
7,07/12/2019,0,0
8,08/12/2019,0,0
9,09/12/2019,0,0
10,10/12/2019,0,0
11,11/12/2019,0,0
12,12/12/2019,0,0
13,13/12/2019,0,0
14,14/12/2019,0,0
15,15/12/2019,0,0
16,16/12/2019,0,0
17,17/12/2019,0,0
18,18/12/2019,0,0
19,19/12/2019,0,0
20,20/12/2019,0,0
21,21/12/2019,0,0
22,22/12/2019,0,0
23,23/12/2019,0,0
24,24/12/2019,0,0
25,25/12/2019,0,0
26,26/12/2019,0,0
27,27/12/2019,0,0
28,28/12/2019,0,0
29,29/12/2019,0,0
30,30/12/2019,0,0
31,31/12/2019,0,0
32,01/01/2020,0,0
33,02/01/2020,0,0
34,03/01/2020,0,0
35,04/01/2020,1.989,2
36,05/01/2020,0,0
37,06/01/2020,0,0
38,07/01/2020,0,0
39,08/01/2020,0,0
40,09/01/2020,3.083,3
41,10/01/2020,2.982,3
42,11/01/2020,2.825,3
43,12/01/2020,0,0
44,13/01/2020,2.952,3
45,14/01/2020,0,0
46,15/01/2020,3.744,3
47,16/01/2020,2.756,3
48,17/01/2020,4.649,4
49,18/01/2020,4.546,4
50,19/01/2020,7.381,7
51,20/01/2020,15.315,14
52,21/01/2020,12.109,11
53,22/01/2020,14.113,13
54,23/01/2020,24.319,23
55,24/01/2020,17.123,16
56,25/01/2020,20.567,19
57,26/01/2020,22.349,21
58,27/01/2020,26.404,25
59,28/01/2020,22.477,21
60,29/01/2020,24.37,23
61,30/01/2020,13.184,12
62,31/01/2020,18.069,17
63,01/02/2020,12.923,12
64,02/02/2020,10.992,10
65,03/02/2020,8.23,8
66,04/02/2020,6.243,6
67,05/02/2020,7.581,7
68,06/02/2020,9.585,9
69,07/02/2020,3.497,3
70,08/02/2020,5.169,5
71,09/02/2020,3.458,3
72,10/02/2020,4.964,5
73,11/02/2020,2.201,2
74,12/02/2020,3.207,3
75,13/02/2020,4.213,4
76,14/02/2020,0,0
77,15/02/2020,2.401,2
78,16/02/2020,3.407,3
79,17/02/2020,0,0
80,18/02/2020,2.316,2
81,19/02/2020,0,0
82,20/02/2020,0,0
83,21/02/2020,3.34,3
84,22/02/2020,0,0
85,23/02/2020,0,0
86,24/02/2020,0,0
87,25/02/2020,0,0
Total,,361.033,336
