location,age_lower,age_upper,n
Anhui,0,10,5
Anhui,10,20,12
Anhui,20,30,31
Anhui,30,40,52
Anhui,40,50,61
Anhui,50,60,62
Anhui,60,70,23
Anhui,70,80,12
Anhui,80,90,1
Anhui,90,120,1
Guangdong,0,10,10
Guangdong,10,20,7
Guangdong,20,30,8
Guangdong,30,40,52
Guangdong,40,50,29
Guangdong,50,60,34
Guangdong,60,70,40
Guangdong,70,80,7
Guangdong,80,90,1
Guangdong,90,120,0
Guangxi,0,10,3
Guangxi,10,20,4
Guangxi,20,30,11
Guangxi,30,40,24
Guangxi,40,50,37
Guangxi,50,60,15
Guangxi,60,70,17
Guangxi,70,80,7
Guangxi,80,90,0
Guangxi,90,120,0
Hubei,0,10,2
Hubei,10,20,0
Hubei,20,30,5
Hubei,30,40,10
Hubei,40,50,12
Hubei,50,60,10
Hubei,60,70,12
Hubei,70,80,16
Hubei,80,90,12
Hubei,90,120,0
Hunan,0,10,3
Hunan,10,20,4
Hunan,20,30,22
Hunan,30,40,45
Hunan,40,50,49
Hunan,50,60,48
Hunan,60,70,29
Hunan,70,80,10
Hunan,80,90,3
Hunan,90,120,0
Jiangsu,0,10,0
Jiangsu,10,20,1
Jiangsu,20,30,9
Jiangsu,30,40,27
Jiangsu,40,50,12
Jiangsu,50,60,27
Jiangsu,60,70,12
Jiangsu,70,80,5
Jiangsu,80,90,2
Jiangsu,90,120,0
Jiangxi,0,10,3
Jiangxi,10,20,1
Jiangxi,20,30,47
Jiangxi,30,40,73
Jiangxi,40,50,85
Jiangxi,50,60,46
Jiangxi,60,70,25
Jiangxi,70,80,11
Jiangxi,80,90,3
Jiangxi,90,120,0
Jilin,0,10,1
Jilin,10,20,3
Jilin,20,30,8
Jilin,30,40,10
Jilin,40,50,21
Jilin,50,60,11
Jilin,60,70,3
Jilin,70,80,2
Jilin,80,90,4
Jilin,90,120,0
Shaanxi,0,10,5
Shaanxi,10,20,3
Shaanxi,20,30,28
Shaanxi,30,40,40
Shaanxi,40,50,49
Shaanxi,50,60,27
Shaanxi,60,70,26
Shaanxi,70,80,10
Shaanxi,80,90,0
Shaanxi,90,120,0
Shandong,0,10,16
Shandong,10,20,3
Shandong,20,30,19
Shandong,30,40,61
Shandong,40,50,43
Shandong,50,60,31
Shandong,60,70,20
Shandong,70,80,9
Shandong,80,90,5
Shandong,90,120,1
Sichuan,0,10,4
Sichuan,10,20,12
Sichuan,20,30,35
Sichuan,30,40,80
Sichuan,40,50,79
Sichuan,50,60,57
Sichuan,60,70,23
Sichuan,70,80,12
Sichuan,80,90,1
Sichuan,90,120,0
Tianjin,0,10,1
Tianjin,10,20,1
Tianjin,20,30,10
Tianjin,30,40,18
Tianjin,40,50,21
Tianjin,50,60,18
Tianjin,60,70,15
Tianjin,70,80,7
Tianjin,80,90,0
Tianjin,90,120,1
Zhejiang,0,10,6
Zhejiang,10,20,11
Zhejiang,20,30,51
Zhejiang,30,40,112
Zhejiang,40,50,145
Zhejiang,50,60,154
Zhejiang,60,70,72
Zhejiang,70,80,29
Zhejiang,80,90,6
Zhejiang,90,120,0
Singapore,0,10,3
Singapore,10,20,2
Singapore,20,30,13
Singapore,30,40,32
Singapore,40,50,22
Singapore,50,60,25
Singapore,60,70,9
Singapore,70,80,6
Singapore,80,90,0
Singapore,90,120,0
South Korea,0,10,3
South Korea,10,20,9
South Korea,20,30,81
South Korea,30,40,73
South Korea,40,50,63
South Korea,50,60,77
South Korea,60,70,67
South Korea,70,80,28
South Korea,80,90,15
South Korea,90,120,1
Japan,0,10,0
Japan,10,20,1
Japan,20,30,6
Japan,30,40,9
Japan,40,50,12
Japan,50,60,14
Japan,60,70,13
Japan,70,80,5
Japan,80,90,3
Japan,90,120,0
Wuhan_CCDC,0,10,80
Wuhan_CCDC,10,20,80
Wuhan_CCDC,20,30,900
Wuhan_CCDC,30,40,2620
Wuhan_CCDC,40,50,3120
Wuhan_CCDC,50,60,4400
Wuhan_CCDC,60,70,5300
Wuhan_CCDC,70,80,2520
Wuhan_CCDC,80,90,900
Wuhan_CCDC,90,120,100
Hubei_CCDC,0,10,133
Hubei_CCDC,10,20,234
Hubei_CCDC,20,30,2202
Hubei_CCDC,30,40,5139
Hubei_CCDC,40,50,6106
Hubei_CCDC,50,60,7808
Hubei_CCDC,60,70,7141
Hubei_CCDC,70,80,3370
Hubei_CCDC,80,90,1101
Hubei_CCDC,90,120,100
ChinaNonHubei_CCDC,0,10,269
ChinaNonHubei_CCDC,10,20,302
ChinaNonHubei_CCDC,20,30,1416
ChinaNonHubei_CCDC,30,40,2455
ChinaNonHubei_CCDC,40,50,2471
ChinaNonHubei_CCDC,50,60,2199
ChinaNonHubei_CCDC,60,70,1436
ChinaNonHubei_CCDC,70,80,561
ChinaNonHubei_CCDC,80,90,194
ChinaNonHubei_CCDC,90,120,34
